data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
1102553,376,ISR29,29,"24 January 2017",2017,1,Riots/Protests,"Protesters (Israel)","Palestinian Arab Ethnic Group (Israel); Students (Israel)",6,,,0,60,"Middle East",Israel,Haifa,Haifa,,Haifa,32.8184,34.9885,1,"PalestineNews & Information Agency (WAFA)",Other-national,"Palestinian Arab school children protested in Haifa against the state's policy of home demolitions in Arab communities.",0,1523276730,ISR
1102683,275,PSE70,70,"24 January 2017",2017,1,"Strategic development","Military Forces of Israel (2009‐)",,8,"Civilians (Palestine)",,7,78,"Middle East",Palestine,"Gaza Strip",Gaza,,Gaza,31.5,34.4667,3,"Ma'an News Agency",Subnational,"Security measure: Israeli forces fired towards Palestinians in the besieged Gaza Strip on at least three separate instances on Tuesday morning without causing any injuries. The events took place in farmlands in the area of al‐Umour on the outskirts of the town of al‐Fukhari, east of Gaza City and at sea off the coasts of Khan Yunis and Rafah in the southern Gaza Strip.",0,1523276730,PSE
1102749,275,PSE68,68,"23 January 2017",2017,1,"Remote violence","Unidentified Armed Group (Palestine)",,3,"Military Forces of Israel (2009‐)",,8,38,"Middle East",Palestine,"West Bank",Ramallah,,"Al Mughayyir",32.0192,35.3478,2,"The Times of Israel",National,"An Israeli soldier was lightly wounded by a pipebombthat exploded next to him on a road in the northernWest Bankon Monday night. TheIsraelDefense Forces had received reports of burning tires outside the village of Mughayir, northeast of Ramallah. When one of them approached a burning tire, but it “turned out to be an explosive device” and detonated.",0,1523276730,PSE
1102750,275,PSE69,69,"23 January 2017",2017,1,"Violence against civilians","Military Forces of Israel (2009‐)",,8,"Civilians (Palestine)","Fishermen (Palestine)",7,78,"Middle East",Palestine,"Gaza Strip","North Gaza",,"Bayt Lahya",31.5464,34.4951,2,"Ma'an News Agency",Subnational,"Israeli naval forces opened fire at Palestinian fishermen off the coast of Beit Lahiya in the northern besiegedGazaStrip in the early hours of Monday morning, with one fisherman being shot in the head with a rubber‐coated steel bullet, a week after he was detained by Israeli forces while fishing.",0,1523276730,PSE
1102751,376,ISR28,28,"23 January 2017",2017,1,Riots/Protests,"Protesters (Israel)","Palestinian Arab Ethnic Group (Israel)",6,,,0,60,"Middle East",Israel,Jerusalem,Jerusalem,,Jerusalem,31.769,35.2163,1,"Agence France Presse; Al Jazeera",Regional-international,"About 300 Palestinian citizens ofIsraelhave gathered outside the Knesset in West Jerusalem toprotestagainst the demolition of Palestinian homes. The rally at the Israeli parliament on Monday came a day after Israeli authorities approved building permits for 566 settler homes in occupied East Jerusalem.",0,1523276730,ISR
1102938,275,PSE67,67,"22 January 2017",2017,1,"Strategic development","Military Forces of Israel (2009‐)",,8,"Civilians (Palestine)","Fishermen (Palestine)",7,78,"Middle East",Palestine,"Gaza Strip","North Gaza",,"Bayt Lahya",31.5464,34.4951,2,"Ma'an News Agency",Subnational,"Security measure: Israeli gunboats opened heavy machine gun fire at Palestinian fishing boats off the coast of Beit Lahiya in the northern Gaza Strip in the early predawn hours Sunday morning, forcing fishermen to sail back to shore, with no injuries or damages reported",0,1523276730,PSE
1103135,275,PSE63,63,"21 January 2017",2017,1,"Violence against civilians","Military Forces of Israel (2009‐)",,8,"Civilians (Palestine)",,7,78,"Middle East",Palestine,"Gaza Strip","North Gaza",,"Bayt Lahya",31.5464,34.4951,1,"PalestineNews & Information Agency (WAFA)",Other-national,"A 6‐year‐old child from Beit Lahiya, north of theGazaStrip, was seriously injured on Friday when she was hit in the stomach by a bullet fired by Israeli soldiers in military towers along the northern borders ofGaza.",0,1523276730,PSE
1103136,275,PSE64,64,"21 January 2017",2017,1,"Strategic development","Military Forces of Israel (2009‐)",,8,"Civilians (Palestine)","Farmers (Palestine)",7,78,"Middle East",Palestine,"Gaza Strip","Khan Yunis",,"Khan Yunis",31.3402,34.3063,1,"Palestine News & Information Agency (WAFA)",Other-national,"Security measure: Israeli forces opened fire Saturday at civilian homes and farms east to the town of Khan Younis in the south to the Gaza Strip. Israeli forces stationed in the military towers overlooking the town opened heavy machine gunfire at farms and homes causing damage but no injuries.",0,1523276730,PSE
1103137,275,PSE65,65,"21 January 2017",2017,1,Riots/Protests,"Military Forces of Israel (2009‐)",,8,"Rioters (Palestine)",,5,58,"Middle East",Palestine,"West Bank",Qalqilya,,"Kafr Qaddum",32.2216,35.1447,1,"Ma'an News Agency",Subnational,"Israeli forces shot a 12‐year‐old Palestinian boy with a rubber‐coated steel bullet duringclashesin the village of Kafr Qaddum west of Nablus in the northern occupiedWest Bankon Saturday afternoon.",0,1523276730,PSE
1103138,275,PSE66,66,"21 January 2017",2017,1,"Remote violence","Unidentified Armed Group (Palestine)",,3,"Civilians (Palestine)",,7,37,"Middle East",Palestine,"West Bank",Tulkarm,,"Nur ash Shams",32.3167,35.0667,1,"Ma'an News Agency",Subnational,"A Palestinian boy and child Friday were injured after a homemade pipebombexploded in the center Nur Shams refugee camp east of Tulkarem city in the northern occupiedWest Bank.",0,1523276730,PSE
1103140,376,ISR25,25,"21 January 2017",2017,1,Riots/Protests,"Protesters (Israel)","Palestinian Arab Ethnic Group (Israel)",6,"Police Forces of Israel (2009‐)",,1,16,"Middle East",Israel,Haifa,Haifa,,Arara,32.4955,35.0941,1,"Ma'an News Agency; Jpost.com",National,"Thousands of demonstrators took to the streets Saturday in the town of Arara in northernIsrael,in the wake of a demolition campaign in the Bedouin village of Umm al‐Hiran on Wednesday. Protesters caused traffic jams and briefly blocked Highway 65 in the Wadi Ara region, with Israeli police suppressing the crowds with stun grenades and otherprotestdispersal means.",0,1523276730,ISR
1103141,376,ISR26,26,"21 January 2017",2017,1,Riots/Protests,"Protesters (Israel)",,6,,,0,60,"Middle East",Israel,HaMerkaz,"Petah Tikva",,"Petah Tikva",32.0871,34.8875,1,"The Times of Israel",National,"Weekly protests were held outside Attorney General Avichai Mandelblit Petah Tikva residence. Demonstrators claim that the attorney general has been too lenient with Netanyahu.",0,1523276730,ISR
1103142,376,ISR27,27,"21 January 2017",2017,1,Riots/Protests,"Protesters (Israel)","Pantsuit Nation‐Israel",6,,,0,60,"Middle East",Israel,"Tel Aviv","Tel Aviv",,"Tel Aviv",32.0809,34.7806,1,"The Times of Israel",National,"500 demonstrators outside of the US Embassy in Tel Aviv on Saturday night. The demonstration, organized by Pantsuit NationIsrael,was part of anti‐Trump marches and demonstrations across the world.",0,1523276730,ISR
1103347,275,PSE57,57,"20 January 2017",2017,1,Riots/Protests,"Protesters (Palestine)","Popular Struggle Coordination Committee",6,"Military Forces of Israel (2009‐)",,8,68,"Middle East",Palestine,"West Bank","Al Quds",,"Maale Adumim",31.7823,35.3075,2,"Ma'an News Agency; Palestine News Network (PNN)",National,"Dozens of supporters and activists on Friday set up tents in a park at the Maale Adumim settlement in the occupiedWest Bank. Israeli Forces attacked the activists and arrested six activists from Palestinian Popular Resistance removing the tent set up by activists.",0,1523276730,PSE
1103348,275,PSE58,58,"20 January 2017",2017,1,Riots/Protests,"Protesters (Palestine)",,6,,,0,60,"Middle East",Palestine,"West Bank",Bethlehem,,Bethlehem,31.7049,35.2038,1,"PalestineNews Network (PNN)",National,"On Friday, a group of Palestinian activists in the city of Bethlehem in theWest Bankburned pictures of the new US President Donald Trump in the first day of taking office because of his support to move the US Embassy inIsraelfrom Tel Aviv to Jerusalem.",0,1523276730,PSE
1103349,275,PSE59,59,"20 January 2017",2017,1,"Violence against civilians","Military Forces of Israel (2009‐)",,8,"Civilians (Palestine)","Fishermen (Palestine)",7,78,"Middle East",Palestine,"Gaza Strip","North Gaza",,"Bayt Lahya",31.5464,34.4951,2,"Jordanian News Agency; Ma'an News Agency",Regional,"A Palestinian fisherman was shot and wounded by the Israeli occupation forces off the coast ofGazaStrip early Friday. The Israeli naval forces opened fire at Palestinian boats off the coast ofGaza, wounding the fisherman.",0,1523276730,PSE
1103350,275,PSE60,60,"20 January 2017",2017,1,Riots/Protests,"Military Forces of Israel (2009‐)",,8,"Protesters (Palestine)",,6,68,"Middle East",Palestine,"West Bank",Ramallah,,Bilin,31.9284,35.072,1,"Ma'an News Agency",Subnational,"Protesters marched in the western part of Bilin near the separation wall, when they were prevented by Israeli from marching on, declaring the area a military post and firing rubber bullets, soundbombs,and plastic bullets at protesters.",0,1523276730,PSE
1103351,275,PSE61,61,"20 January 2017",2017,1,Riots/Protests,"Military Forces of Israel (2009‐)",,8,"Rioters (Palestine)",,5,58,"Middle East",Palestine,"West Bank",Qalqilya,,"Kafr Qaddum",32.2216,35.1447,1,"Ma'an News Agency",Subnational,"Protesters held signs that read “Jerusalem will only be the capital ofPalestine,” and shouted slogans denouncing the nearly half‐century occupation of theWest Bank. Violent clasheserupted with Israeli forces, who had entered the village with an Israeli bulldozer and Israeli military jeeps, and attacked the protesters who responded by throwing rocks and burning tires.",0,1523276730,PSE
1103352,275,PSE62,62,"20 January 2017",2017,1,"Strategic development","Settlers (Israel)",,3,"Qusra Communal Militia (Palestine)",,4,34,"Middle East",Palestine,"West Bank",Nablus,,Qusra,32.0854,35.3301,1,"Ma'an News Agency",Subnational,"Non‐violent activity: Dozens of Palestinians confronted four armed Israeli settlers in a village in the southern part of Nablus city in the northern occupied West Bank early Friday, allegedly preventing them from assaulting local Palestinian residents. Four armed Israeli settlers raided the village, prompting dozens of Palestinians to surround them and prevent them from hurting residents or damaging property.",0,1523276730,PSE
1103353,376,ISR24,24,"20 January 2017",2017,1,Riots/Protests,"Protesters (Israel)","Palestinian Arab Ethnic Group (Israel)",6,,,0,60,"Middle East",Israel,HaMerkaz,Sharon,,"Et Taiyiba",32.2662,35.0089,1,"Ma'an News Agency",Subnational,"Dozens of Palestinians protested on Thursday at the entrance of Taybeh City in centralIsraelagainst the recent spate of demolitions in the Palestinian villages of Umm al‐Hiran and Qalansawe.",0,1523276730,ISR
1103576,275,PSE50,50,"19 January 2017",2017,1,Riots/Protests,"Protesters (Palestine)",,6,,,0,60,"Middle East",Palestine,"West Bank",Nablus,,Nablus,32.2211,35.2544,1,"Press TV",National,"Thousands of Palestinians have staged demonstrations across the occupiedWest Bankin condemnation of US President‐elect Donald Trump's plan to fulfill an election campaign promise to move the US embassy from Tel Aviv to Jerusalem al‐Quds. Hundreds of demonstrators waved Palestinian flags during aprotestin the northernWest Bankcity of Nablus on Thursday.",0,1523276731,PSE
1103577,275,PSE51,51,"19 January 2017",2017,1,Riots/Protests,"Protesters (Palestine)",,6,,,0,60,"Middle East",Palestine,"West Bank",Ramallah,,Ramallah,31.8996,35.2042,1,"Press TV",National,"Protesters in the centralWest Bankcity of Ramallah marched to express their opposition to Trump's plan, stressing that Jerusalem al‐Quds must be recognized as the capital of the independent Palestinian state.",0,1523276731,PSE
1103578,275,PSE52,52,"19 January 2017",2017,1,"Strategic development","Military Forces of Israel (2009‐)",,8,"Civilians (Palestine)","Fishermen (Palestine)",7,78,"Middle East",Palestine,"Gaza Strip",Gaza,,Gaza,31.5,34.4667,2,"Ma'an News Agency",Subnational,"Security measure: Israeli naval forces opened fire towards Palestinian fishermen off the coast of the besieged Gaza Strip on Thursday morning. Israeli navy ships opened fire at and chased fishing boats three nautical miles off the northern coast of Gaza City, forcing them to flee back to shore.",0,1523276731,PSE
1103579,275,PSE53,53,"19 January 2017",2017,1,"Violence against civilians","Unidentified Armed Group (Palestine)",,3,"Civilians (Palestine)",,7,37,"Middle East",Palestine,"Gaza Strip","Khan Yunis",,"Khan Yunis",31.3402,34.3063,1,"Ma'an News Agency",Subnational,"An 18‐year‐old Palestinian girl was injured by live fire from an unidentified source in eastern Khan Younis on Thursday morning.",0,1523276731,PSE
1103580,275,PSE54,54,"19 January 2017",2017,1,Riots/Protests,"Military Forces of Israel (2009‐)",,8,"Rioters (Palestine)",,5,58,"Middle East",Palestine,"West Bank",Salfit,,Salfit,32.0837,35.1808,2,"Ma'an News Agency",Subnational,"In the northern occupiedWest Bank,clasheserupted between Palestinian youth and Israeli forces in Salfit after Israeli forces raided the city late Thursday night. Israeli forces fired stun grenades at Palestinian youths.",0,1523276731,PSE
1103581,275,PSE55,55,"19 January 2017",2017,1,"Remote violence","Unidentified Armed Group (Palestine)",,3,,,0,30,"Middle East",Palestine,"Gaza Strip",Gaza,,"An Nusayrat",31.4486,34.3925,1,"Agence France Presse; Ma'an News Agency",Subnational-international,"Two explosions hit theGazaStrip, including one targeting the home of an official of Fatah party, without causingcasualties. The first blast struck at around midnight in easternGazaCity outside the home of Nayef Khuweter, a Fatah official in the territory. In a separate incident, a car exploded in Nuseirat refugee camp of centralGaza.",0,1523276731,PSE
1103582,275,PSE56,56,"19 January 2017",2017,1,"Remote violence","Unidentified Armed Group (Palestine)",,3,,,0,30,"Middle East",Palestine,"Gaza Strip",Gaza,,Gaza,31.5,34.4667,1,"Agence France Presse; Ma'an News Agency",Subnational-international,"Two explosions hit theGazaStrip, including one targeting the home of an official of Fatah party, without causingcasualties. The first blast struck at around midnight in easternGazaCity outside the home of Nayef Khuweter, a Fatah official in the territory. In a separate incident, a car exploded in Nuseirat refugee camp of centralGaza.",0,1523276731,PSE
1103821,275,PSE46,46,"18 January 2017",2017,1,Riots/Protests,"Military Forces of Israel (2009‐)",,8,"Rioters (Palestine)",,5,58,"Middle East",Palestine,"West Bank","Al Quds",,Qalandia,31.8667,35.2167,1,"Ma'an News Agency; PalestineNews & Information Agency (WAFA)",National,"At least six Palestinians were injured on Wednesday duringclashes with Israeli forces in Qalandia refugee camp, north of Jerusalem. Palestinians threw rocks and Molotovbombsat the Israeli forces, who broke into the camp during the early pre‐dawn hours to demolish structures.",0,1523276731,PSE
1103822,275,PSE47,47,"18 January 2017",2017,1,Riots/Protests,"Military Forces of Israel (2009‐)","Settlers (Israel)",8,"Rioters (Palestine)",,5,58,"Middle East",Palestine,"West Bank",Nablus,,Nablus,32.2211,35.2544,1,"PalestineNews & Information Agency (WAFA)",Other-national,"A Palestinian teenager was injured on Wednesday and two others arrested duringclasheswith Israeli forces at Joseph's Tomb in Nablus after dozens of Jewish settlers have stormed the site.",0,1523276731,PSE
1103823,275,PSE48,48,"18 January 2017",2017,1,Riots/Protests,"Protesters (Israel)","Palestinian Arab Ethnic Group (Israel)",6,,,0,60,"Middle East",Palestine,"West Bank",Ramallah,,"Al Bireh",31.9053,35.215,3,"Ma'an News Agency",Subnational,"Palestinian citizens ofIsraeland their supporters took to the streets inIsraeland the occupied Palestinian territory on Wednesday toprotestan evacuationraidin a Bedouin community in the Negev which turned deadly earlier in the day.",0,1523276731,PSE
1103824,376,ISR17,17,"18 January 2017",2017,1,Riots/Protests,"Protesters (Israel)","Palestinian Arab Ethnic Group (Israel)",6,,,0,60,"Middle East",Israel,Haifa,Haifa,,Haifa,32.8184,34.9885,1,"The Times ofIsrael; Jerusalem Post",National,"Hundreds of people took to the streets in Tel Aviv and other locations acrossIsraelon Wednesday toprotest the government‐ordered demolition of several Bedouin homes and what they saw as excessive police force leading to the deadly car‐ramming incident. Protest rallies took place in Jerusalem, Tel Aviv, Haifa, Jaffa, Nazareth and Qalansawe.",0,1523276731,ISR
1103825,376,ISR18,18,"18 January 2017",2017,1,Riots/Protests,"Protesters (Israel)","Palestinian Arab Ethnic Group (Israel)",6,,,0,60,"Middle East",Israel,Jerusalem,Jerusalem,,Jerusalem,31.769,35.2163,1,"The Times ofIsrael; Jerusalem Post",National,"Hundreds of people took to the streets in Tel Aviv and other locations acrossIsraelon Wednesday toprotest the government‐ordered demolition of several Bedouin homes and what they saw as excessive police force leading to the deadly car‐ramming incident. Protest rallies took place in Jerusalem, Tel Aviv, Haifa, Jaffa, Nazareth and Qalansawe.",0,1523276731,ISR
1103826,376,ISR19,19,"18 January 2017",2017,1,Riots/Protests,"Protesters (Israel)","Palestinian Arab Ethnic Group (Israel)",6,,,0,60,"Middle East",Israel,HaZafon,Yizreel,,Nazareth,32.6993,35.3048,1,"The Times ofIsrael; Jerusalem Post",National,"Hundreds of people took to the streets in Tel Aviv and other locations acrossIsraelon Wednesday toprotest the government‐ordered demolition of several Bedouin homes and what they saw as excessive police force leading to the deadly car‐ramming incident. Protest rallies took place in Jerusalem, Tel Aviv, Haifa, Jaffa, Nazareth and Qalansawe.",0,1523276731,ISR
1103827,376,ISR20,20,"18 January 2017",2017,1,Riots/Protests,"Protesters (Israel)","Palestinian Arab Ethnic Group (Israel)",6,,,0,60,"Middle East",Israel,HaMerkaz,Sharon,,Qalansuwa,32.2849,34.9811,1,"The Times ofIsrael; Jerusalem Post",National,"Hundreds of people took to the streets in Tel Aviv and other locations acrossIsraelon Wednesday toprotest the government‐ordered demolition of several Bedouin homes and what they saw as excessive police force leading to the deadly car‐ramming incident. Protest rallies took place in Jerusalem, Tel Aviv, Haifa, Jaffa, Nazareth and Qalansawe.",0,1523276731,ISR
1103828,376,ISR21,21,"18 January 2017",2017,1,Riots/Protests,"Protesters (Israel)","Palestinian Arab Ethnic Group (Israel)",6,,,0,60,"Middle East",Israel,"Tel Aviv","Tel Aviv",,"Tel Aviv",32.0809,34.7806,1,"The Times ofIsrael; Jerusalem Post",National,"Hundreds of people took to the streets in Tel Aviv and other locations acrossIsraelon Wednesday toprotest the government‐ordered demolition of several Bedouin homes and what they saw as excessive police force leading to the deadly car‐ramming incident. Protest rallies took place in Jerusalem, Tel Aviv, Haifa, Jaffa, Nazareth and Qalansawe.",0,1523276731,ISR
1103829,376,ISR22,22,"18 January 2017",2017,1,Riots/Protests,"Protesters (Israel)","Palestinian Arab Ethnic Group (Israel)",6,,,0,60,"Middle East",Israel,"Tel Aviv","Tel Aviv",,"Tel Aviv‐Jaffa",32.0504,34.7522,1,"The Times ofIsrael; Jerusalem Post",National,"Hundreds of people took to the streets in Tel Aviv and other locations acrossIsraelon Wednesday toprotest the government‐ordered demolition of several Bedouin homes and what they saw as excessive police force leading to the deadly car‐ramming incident. Protest rallies took place in Jerusalem, Tel Aviv, Haifa, Jaffa, Nazareth and Qalansawe.",0,1523276731,ISR
1103830,376,ISR23,23,"18 January 2017",2017,1,Riots/Protests,"Police Forces of Israel (2009‐)",,1,"Rioters (Israel)","Palestinian Arab Ethnic Group (Israel); Higher Guidance Committee for Arab Residents of Negev; Bedouin Ethnic Group (Israel)",5,15,"Middle East",Israel,HaDarom,"Beer Sheva",,Hura,31.3008,34.9361,2,"Agence France Presse; Al Jazeera; Ma'an News Agency",Subnational-regional,"Two people were killed and several others were hospitalized Wednesday during a predawn demolition raid into the Bedouin village of Umm al‐Hiran in the Negev region. Israeli forces used rubber‐coated steel bullets, tear gas canisters, and stun grenades to violently suppress locals who had gathered to resist the demolitions.",2,1523276731,ISR
1103992,275,PSE49,49,"18 January 2017",2017,1,"Strategic development","Military Forces of Israel (2009‐)",,8,"Civilians (Palestine)","Farmers (Palestine)",7,78,"Middle East",Palestine,"Gaza Strip",Gaza,,Gaza,31.5,34.4667,3,"Ma'an News Agency",Subnational,"Security measure: Israeli soldiers opened fire at Palestinian farmers in the Abasan al‐Kabira town, east of Khan Younis in the southern Gaza Strip. No injuries were reported. In the central Gaza Strip, Israeli soldiers opened fire at farmers in eastern Juhr al‐Dik. While no injuries were reported, farmers said the gunfire forced them to temporarily leave their lands. Israeli naval forces opened fire at Palestinian fishing boats off the coast of western Gaza City. No injuries were reported",0,1523276731,PSE
1104048,275,PSE44,44,"17 January 2017",2017,1,"Violence against civilians","Military Forces of Israel (2009‐)",,8,"Civilians (Palestine)","Fishermen (Palestine)",7,78,"Middle East",Palestine,"Gaza Strip","North Gaza",,"Bayt Lahya",31.5464,34.4951,2,"Ma'an News Agency",Subnational,"Israeli naval forces shot and injured a Palestinian fisherman off the coast in the northernGazaStrip on Tuesday, as locals reported two other shooting incidents in the besieged coastal enclave.",0,1523276731,PSE
1104049,275,PSE45,45,"17 January 2017",2017,1,"Battle-No change of territory","Unidentified Armed Group (Palestine)",,3,"Military Forces of Israel (2009‐)",,8,38,"Middle East",Palestine,"West Bank",Tulkarm,,Tulkarm,32.3104,35.0286,2,"Agence France Presse; Jerusalem Post",National-international,"Israeli forces killed a Palestinian who attempted to stab a soldier at a crossing in the occupiedWest Bankon Tuesday.",1,1523276731,PSE
1104050,376,ISR15,15,"17 January 2017",2017,1,Riots/Protests,"Rioters (Israel)","Haredi Jewish Group (Israel) (Neturei Karta Faction)",5,,,0,50,"Middle East",Israel,Jerusalem,Jerusalem,,"Bet Shemesh",31.7307,34.9929,1,"Jpost.com; Arutz Sheva",National,"Haredi demonstrators gathered in Jerusalem and Beit Shemesh late Tuesday night toprotestthe recent arrest of several young Haredi women for failure to respond to draft orders.Theprotests,organized by the anti‐Zionist Neturei Karta movement, were held in Meah Sharim in Jerusalem and Nahar Hayarden Street in Beit Shemesh.",0,1523276731,ISR
1104051,376,ISR16,16,"17 January 2017",2017,1,Riots/Protests,"Rioters (Israel)","Haredi Jewish Group (Israel) (Neturei Karta Faction)",5,,,0,50,"Middle East",Israel,Jerusalem,Jerusalem,,"Jerusalem‐Mea Shearim",31.7878,35.2211,1,"Jpost.com; Arutz Sheva",National,"Demonstrations andriotshave taken place over the last three days against recent arrests of members of Edah Haredit community in Jerusalem and Beit Shemesh.",0,1523276731,ISR
